Event ID,Event Name,Date,Location,Volunteers Assigned,Volunteers Attended,Urgency,Status
10,Summer Blanket Drive,2026-05-31,"123 Park Ave, Houston, TX",2,0,Medium,planned
8,UH Winter Food Bank,2025-12-20,"3431 Uni Park, Houston, 77382",2,0,High,active
7,Winter Coat Donation Drive,2025-12-15,"789 Community Center, Houston, TX",1,0,Low,planned
5,Holiday Food Drive Setup,2025-12-05,"500 Volunteer Center, Houston, TX",1,0,Medium,planned
17,Frontend Notification Test Event,2025-12-05,"UPDATED: 789 New Test Location, Houston, TX",0,0,High,planned
3,Thanksgiving Meal Prep,2025-11-28,"789 Kitchen Way, Houston, TX",2,4,Critical,planned
14,Skill Match Test Event,2025-11-28,"789 Skill Test Rd, Houston, TX",0,0,High,planned
13,Trigger Test Event,2025-11-27,"NEW LOCATION: 123 Updated Street, Houston, TX",2,0,Critical,planned
16,Cypress Fishing Club,2025-11-26,12524 Clearview Dr,2,0,Medium,planned
1,Community Food Distribution,2025-11-20,"123 Main St, Houston, TX",1,3,Medium,completed
4,Community Cleanup Day,2025-11-10,"321 Community Blvd, Houston, TX",1,2,Low,planned
6,Halloween Candy Drive,2025-11-01,"1323 Spooky Dr, Houston, TX",3,0,Critical,active
